DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20210113,220000,34806.8100000,35919.3000000,34711.5700000,35715.4200000,1321
20210113,230000,35715.4200000,36175.6900000,35545.0000000,35999.6500000,1018
20210114,000000,35999.7900000,36482.0000000,35686.6200000,36245.0800000,1223
20210114,010000,36240.1400000,37500.0000000,36116.3000000,37299.9900000,1610
20210114,020000,37299.9900000,37888.0000000,36850.0000000,37211.1600000,1419
20210114,030000,37226.1600000,37646.2000000,37013.9200000,37393.6600000,1083
20210114,040000,37393.6700000,38195.0000000,37379.4400000,37799.6700000,1374
20210114,050000,37804.3600000,37817.4900000,37378.0000000,37466.4600000,967
20210114,060000,37465.6200000,37679.3000000,37066.0100000,37437.6500000,848
20210114,070000,37436.9100000,37491.8400000,37001.4900000,37051.0700000,601
20210114,080000,37055.4600000,37517.3500000,36751.1100000,37517.3500000,724
20210114,090000,37505.7200000,37800.0000000,37254.8200000,37546.1500000,564
20210114,100000,37550.1100000,38100.0000000,37444.0000000,37844.9000000,582
20210114,110000,37853.8600000,38616.2200000,37721.5100000,38230.5900000,821
20210114,120000,38220.6600000,38800.0000000,38206.4500000,38388.4400000,661
20210114,130000,38374.7500000,38473.0100000,37888.0000000,37948.1900000,405
20210114,140000,37947.7100000,38500.0000000,37888.0000000,38500.0000000,431
20210114,150000,38499.9900000,38651.6500000,38069.5100000,38381.2100000,394
20210114,160000,38381.2100000,38437.8800000,37725.1000000,38283.0100000,584
20210114,170000,38283.0100000,39056.6000000,38185.9600000,39016.9900000,775
20210114,180000,39017.0000000,39800.0000000,38850.0000000,39601.0400000,1253
20210114,190000,39601.0400000,40127.6600000,39320.3900000,39529.2500000,1722
20210114,200000,39529.6000000,39991.9900000,39175.0000000,39245.4000000,1294
20210114,210000,39250.0000000,39857.4600000,39250.0000000,39390.7100000,707
20210114,220000,39382.5900000,39593.5000000,39210.0000000,39313.8700000,546
20210114,230000,39313.8700000,39886.3600000,39302.2000000,39849.5100000,919
20210115,000000,39849.9500000,39899.0000000,39302.0000000,39312.1000000,401
20210115,010000,39317.8700000,39428.4900000,38132.1300000,38751.6100000,1714
20210115,020000,38750.0000000,39072.3300000,38351.0000000,38936.8500000,435
20210115,030000,38945.4000000,39288.0000000,38729.0000000,39125.1400000,641
20210115,040000,39123.0500000,39697.0000000,39007.4800000,39418.7400000,517
20210115,050000,39396.1700000,39585.8400000,38975.0100000,39119.7000000,593
20210115,060000,39119.7000000,39442.5300000,38767.8400000,39224.2800000,469
20210115,070000,39224.2900000,39286.8000000,38406.4600000,38657.9600000,722
