[2021-01-04T21:03:55.608][0] 	% 
[2021-01-04T21:03:57.692][0] 	% 
[2021-01-04T21:03:59.779][0] 	% 
[2021-01-04T21:04:00.213][0] 	% 
[2021-01-04T21:04:02.282][0] 	% 
[2021-01-04T21:04:04.407][0] 	% 
[2021-01-04T21:04:06.339][0] 	% 
[2021-01-04T21:04:08.367][0] 	% 
[2021-01-04T21:04:10.56][0] 	% 
[2021-01-04T21:04:12.705][0] 	% 
[2021-01-04T21:04:14.737][0] 	% 
[2021-01-04T21:04:17.036][0] 	% 
[2021-01-04T21:04:19.041][0] 	% 
[2021-01-04T21:04:21.232][0] 	% 
[2021-01-04T21:04:23.216][0] 	% 
[2021-01-04T21:04:25.533][0] 	% 
[2021-01-04T21:04:27.333][0] 	% 
[2021-01-04T21:04:29.503][0] 	% 
[2021-01-04T21:04:31.513][0] 	% 
[2021-01-04T21:04:33.544][0] 	% 
[2021-01-04T21:04:35.537][0] 	% 
[2021-01-04T21:04:37.539][0] 	% 
[2021-01-04T21:04:39.742][0] 	% 
[2021-01-04T21:04:41.75][0] 	% 
[2021-01-04T21:04:43.76][0] 	% 
[2021-01-04T21:04:45.775][0] 	% 
[2021-01-04T21:04:48.176][0] 	% 
[2021-01-04T21:04:50.28][0] 	% 
[2021-01-04T21:04:52.634][0] 	% 
[2021-01-04T21:04:54.674][0] 	% 
[2021-01-04T21:04:57.252][0] 	% 
[2021-01-04T21:04:59.251][0] 	% 
[2021-01-04T21:05:00.209][0] 	% 
[2021-01-04T21:05:02.343][0] 	% 
[2021-01-04T21:05:04.56][0] 	% 
[2021-01-04T21:05:06.406][0] 	% 
[2021-01-04T21:05:08.541][0] 	% 
[2021-01-04T21:05:10.845][0] 	% 
[2021-01-04T21:05:12.68][0] 	% 
[2021-01-04T21:05:14.794][0] 	% 
[2021-01-04T21:05:16.862][0] 	% 
[2021-01-04T21:05:18.873][0] 	% 
[2021-01-04T21:05:21.401][0] 	% 
[2021-01-04T21:05:23.772][0] 	% 
[2021-01-04T21:05:25.919][0] 	% 
[2021-01-04T21:05:28.25][0] 	% 
[2021-01-04T21:05:30.638][0] 	% 
